,country_name,locality_name,market_name,commodity_name,currency_name,market_type,unit_of_goods_measurement,mp_price
0,Afghanistan,$Daykundi,Nili,Bread,AFN,Retail,KG,51.72
1,Afghanistan,$Daykundi,Nili,Rice,AFN,Retail,KG,67.0
2,Afghanistan,$Daykundi,Nili,Wheat,AFN,Retail,KG,29.0
3,Afghanistan,Badakhshan,Fayzabad,Bread,AFN,Retail,KG,50.0
4,Afghanistan,Badakhshan,Fayzabad,Livestock,AFN,Retail,Unit,5500000.0
5,Afghanistan,Badakhshan,Fayzabad,Rice,AFN,Retail,KG,59.0
6,Afghanistan,Badakhshan,Fayzabad,Wheat,AFN,Retail,KG,24.5
7,Afghanistan,Balkh,Mazar,Bread,AFN,Retail,KG,50.0
8,Afghanistan,Balkh,Mazar,Livestock,AFN,Retail,Unit,5637500.0
9,Afghanistan,Balkh,Mazar,Rice,AFN,Retail,KG,39.0
10,Afghanistan,Balkh,Mazar,Wheat,AFN,Retail,KG,22.0
11,Afghanistan,Bamyan,Bamyan,Wheat,AFN,Retail,KG,10.875
12,Afghanistan,Faryab,Maymana,Bread,AFN,Retail,KG,50.0
13,Afghanistan,Faryab,Maymana,Rice,AFN,Retail,KG,40.0
14,Afghanistan,Faryab,Maymana,Wheat,AFN,Retail,KG,23.0
15,Afghanistan,Ghor,Ghor,Rice,AFN,Retail,KG,27.5
16,Afghanistan,Ghor,Ghor,Wheat,AFN,Retail,KG,10.5
17,Afghanistan,Hirat,Hirat,Bread,AFN,Retail,KG,29.4
18,Afghanistan,Hirat,Hirat,Livestock,AFN,Retail,Unit,2662500.0
19,Afghanistan,Hirat,Hirat,Rice,AFN,Retail,KG,34.4
20,Afghanistan,Hirat,Hirat,Wheat,AFN,Retail,KG,18.2
21,Afghanistan,Kabul,Kabul,Bread,AFN,Retail,KG,38.5
22,Afghanistan,Kabul,Kabul,Livestock,AFN,Retail,Unit,2901333.0
23,Afghanistan,Kabul,Kabul,Rice,AFN,Retail,KG,58.0
24,Afghanistan,Kabul,Kabul,Wheat,AFN,Retail,KG,25.5
25,Afghanistan,Kandahar,Kandahar,Bread,AFN,Retail,KG,37.0
26,Afghanistan,Kandahar,Kandahar,Livestock,AFN,Retail,Unit,2120000.0
27,Afghanistan,Kandahar,Kandahar,Rice,AFN,Retail,KG,31.6
28,Afghanistan,Kandahar,Kandahar,Wheat,AFN,Retail,KG,25.55
29,Afghanistan,Nangarhar,Jalalabad,Bread,AFN,Retail,KG,50.0
30,Afghanistan,Nangarhar,Jalalabad,Livestock,AFN,Retail,Unit,1572083.0
31,Afghanistan,Nangarhar,Jalalabad,Rice,AFN,Retail,KG,33.0
32,Afghanistan,Nangarhar,Jalalabad,Wheat,AFN,Retail,KG,23.0
33,Afghanistan,Paktya,Gardez,Rice,AFN,Retail,KG,37.75
34,Afghanistan,Paktya,Gardez,Wheat,AFN,Retail,KG,18.875
35,Algeria,Alger,Algiers,Apples,DZD,Retail,KG,400.0
36,Algeria,Alger,Algiers,Bananas,DZD,Retail,KG,240.0
37,Algeria,Alger,Algiers,Beans,DZD,Retail,KG,180.0
38,Algeria,Alger,Algiers,Bread,DZD,Retail,Unit,10.0
39,Algeria,Alger,Algiers,Carrots,DZD,Retail,KG,60.0
40,Algeria,Alger,Algiers,Cheese,DZD,Retail,Unit,200.0
41,Algeria,Alger,Algiers,Eggs,DZD,Retail,30 pcs,280.0
42,Algeria,Alger,Algiers,Fish,DZD,Retail,125 G,75.0
43,Algeria,Alger,Algiers,Lentils,DZD,Retail,KG,180.0
44,Algeria,Alger,Algiers,Meat,DZD,Retail,KG,260.0
45,Algeria,Alger,Algiers,Milk,DZD,Retail,L,25.0
46,Algeria,Alger,Algiers,Onions,DZD,Retail,KG,30.0
47,Algeria,Alger,Algiers,Pasta,DZD,Retail,500 G,50.0
48,Algeria,Alger,Algiers,Potatoes,DZD,Retail,KG,40.0
49,Algeria,Alger,Algiers,Rice,DZD,Retail,KG,100.0
50,Algeria,Alger,Algiers,Sugar,DZD,Retail,KG,87.0
51,Algeria,Alger,Algiers,Tea,DZD,Retail,KG,540.0
52,Algeria,Alger,Algiers,Tomatoes,DZD,Retail,KG,40.0
53,Algeria,Tindouf,Auserd,Apples,DZD,Retail,KG,400.0
54,Algeria,Tindouf,Auserd,Bananas,DZD,Retail,KG,350.0
55,Algeria,Tindouf,Auserd,Beans,DZD,Retail,KG,230.0
56,Algeria,Tindouf,Auserd,Bread,DZD,Retail,Unit,10.0
57,Algeria,Tindouf,Auserd,Carrots,DZD,Retail,KG,110.0
58,Algeria,Tindouf,Auserd,Cheese,DZD,Retail,Unit,220.0
59,Algeria,Tindouf,Auserd,Eggs,DZD,Retail,30 pcs,380.0
60,Algeria,Tindouf,Auserd,Fish,DZD,Retail,125 G,80.0
61,Algeria,Tindouf,Auserd,Lentils,DZD,Retail,KG,230.0
62,Algeria,Tindouf,Auserd,Meat,DZD,Retail,KG,700.0
63,Algeria,Tindouf,Auserd,Meat,DZD,Retail,KG,350.0
64,Algeria,Tindouf,Auserd,Milk,DZD,Retail,L,100.0
65,Algeria,Tindouf,Auserd,Milk,DZD,Retail,L,150.0
66,Algeria,Tindouf,Auserd,Onions,DZD,Retail,KG,80.0
67,Algeria,Tindouf,Auserd,Pasta,DZD,Retail,500 G,40.0
68,Algeria,Tindouf,Auserd,Potatoes,DZD,Retail,KG,75.0
69,Algeria,Tindouf,Auserd,Rice,DZD,Retail,KG,120.0
70,Algeria,Tindouf,Auserd,Sugar,DZD,Retail,KG,100.0
71,Algeria,Tindouf,Auserd,Tea,DZD,Retail,Packet,160.0
72,Algeria,Tindouf,Auserd,Tomatoes,DZD,Retail,KG,70.0
73,Algeria,Tindouf,Boujdour,Apples,DZD,Retail,KG,400.0
74,Algeria,Tindouf,Boujdour,Bananas,DZD,Retail,KG,300.0
75,Algeria,Tindouf,Boujdour,Beans,DZD,Retail,KG,240.0
76,Algeria,Tindouf,Boujdour,Carrots,DZD,Retail,KG,100.0
77,Algeria,Tindouf,Boujdour,Cheese,DZD,Retail,Unit,220.0
78,Algeria,Tindouf,Boujdour,Eggs,DZD,Retail,30 pcs,370.0
79,Algeria,Tindouf,Boujdour,Fish,DZD,Retail,125 G,80.0
80,Algeria,Tindouf,Boujdour,Lentils,DZD,Retail,KG,250.0
81,Algeria,Tindouf,Boujdour,Meat,DZD,Retail,KG,700.0
82,Algeria,Tindouf,Boujdour,Meat,DZD,Retail,KG,400.0
83,Algeria,Tindouf,Boujdour,Milk,DZD,Retail,L,100.0
84,Algeria,Tindouf,Boujdour,Milk,DZD,Retail,L,150.0
85,Algeria,Tindouf,Boujdour,Onions,DZD,Retail,KG,100.0
86,Algeria,Tindouf,Boujdour,Pasta,DZD,Retail,500 G,40.0
87,Algeria,Tindouf,Boujdour,Potatoes,DZD,Retail,KG,80.0
88,Algeria,Tindouf,Boujdour,Rice,DZD,Retail,KG,120.0
89,Algeria,Tindouf,Boujdour,Sugar,DZD,Retail,KG,100.0
90,Algeria,Tindouf,Boujdour,Tea,DZD,Retail,Packet,160.0
91,Algeria,Tindouf,Boujdour,Tomatoes,DZD,Retail,KG,100.0
92,Algeria,Tindouf,Dakhla,Apples,DZD,Retail,KG,400.0
93,Algeria,Tindouf,Dakhla,Bananas,DZD,Retail,KG,350.0
94,Algeria,Tindouf,Dakhla,Beans,DZD,Retail,KG,240.0
95,Algeria,Tindouf,Dakhla,Bread,DZD,Retail,Unit,10.0
96,Algeria,Tindouf,Dakhla,Carrots,DZD,Retail,KG,120.0
97,Algeria,Tindouf,Dakhla,Cheese,DZD,Retail,Unit,220.0
98,Algeria,Tindouf,Dakhla,Eggs,DZD,Retail,30 pcs,370.0
99,Algeria,Tindouf,Dakhla,Fish,DZD,Retail,125 G,80.0
100,Algeria,Tindouf,Dakhla,Lentils,DZD,Retail,KG,250.0
101,Algeria,Tindouf,Dakhla,Meat,DZD,Retail,KG,700.0
102,Algeria,Tindouf,Dakhla,Meat,DZD,Retail,KG,370.0
103,Algeria,Tindouf,Dakhla,Milk,DZD,Retail,L,100.0
104,Algeria,Tindouf,Dakhla,Milk,DZD,Retail,L,150.0
105,Algeria,Tindouf,Dakhla,Onions,DZD,Retail,KG,90.0
106,Algeria,Tindouf,Dakhla,Pasta,DZD,Retail,500 G,40.0
107,Algeria,Tindouf,Dakhla,Potatoes,DZD,Retail,KG,80.0
108,Algeria,Tindouf,Dakhla,Rice,DZD,Retail,KG,120.0
109,Algeria,Tindouf,Dakhla,Sugar,DZD,Retail,KG,100.0
110,Algeria,Tindouf,Dakhla,Tea,DZD,Retail,Packet,160.0
111,Algeria,Tindouf,Dakhla,Tomatoes,DZD,Retail,KG,80.0
112,Algeria,Tindouf,Layoun,Apples,DZD,Retail,KG,400.0
113,Algeria,Tindouf,Layoun,Bananas,DZD,Retail,KG,350.0
114,Algeria,Tindouf,Layoun,Beans,DZD,Retail,KG,220.0
115,Algeria,Tindouf,Layoun,Bread,DZD,Retail,Unit,10.0
116,Algeria,Tindouf,Layoun,Carrots,DZD,Retail,KG,90.0
117,Algeria,Tindouf,Layoun,Cheese,DZD,Retail,Unit,220.0
118,Algeria,Tindouf,Layoun,Eggs,DZD,Retail,30 pcs,380.0
119,Algeria,Tindouf,Layoun,Fish,DZD,Retail,125 G,80.0
120,Algeria,Tindouf,Layoun,Lentils,DZD,Retail,KG,220.0
121,Algeria,Tindouf,Layoun,Meat,DZD,Retail,KG,700.0
122,Algeria,Tindouf,Layoun,Meat,DZD,Retail,KG,360.0
123,Algeria,Tindouf,Layoun,Milk,DZD,Retail,L,100.0
124,Algeria,Tindouf,Layoun,Milk,DZD,Retail,L,150.0
125,Algeria,Tindouf,Layoun,Onions,DZD,Retail,KG,65.0
126,Algeria,Tindouf,Layoun,Pasta,DZD,Retail,500 G,40.0
127,Algeria,Tindouf,Layoun,Potatoes,DZD,Retail,KG,50.0
128,Algeria,Tindouf,Layoun,Rice,DZD,Retail,KG,120.0
129,Algeria,Tindouf,Layoun,Sugar,DZD,Retail,KG,100.0
130,Algeria,Tindouf,Layoun,Tea,DZD,Retail,Packet,160.0
131,Algeria,Tindouf,Layoun,Tomatoes,DZD,Retail,KG,70.0
132,Algeria,Tindouf,Samara,Apples,DZD,Retail,KG,380.0
133,Algeria,Tindouf,Samara,Bananas,DZD,Retail,KG,300.0
134,Algeria,Tindouf,Samara,Beans,DZD,Retail,KG,240.0
135,Algeria,Tindouf,Samara,Bread,DZD,Retail,Unit,10.0
136,Algeria,Tindouf,Samara,Carrots,DZD,Retail,KG,100.0
137,Algeria,Tindouf,Samara,Cheese,DZD,Retail,Unit,220.0
138,Algeria,Tindouf,Samara,Eggs,DZD,Retail,30 pcs,380.0
139,Algeria,Tindouf,Samara,Fish,DZD,Retail,125 G,80.0
140,Algeria,Tindouf,Samara,Lentils,DZD,Retail,KG,250.0
141,Algeria,Tindouf,Samara,Meat,DZD,Retail,KG,650.0
142,Algeria,Tindouf,Samara,Meat,DZD,Retail,KG,380.0
143,Algeria,Tindouf,Samara,Milk,DZD,Retail,L,100.0
144,Algeria,Tindouf,Samara,Milk,DZD,Retail,L,150.0
145,Algeria,Tindouf,Samara,Onions,DZD,Retail,KG,70.0
146,Algeria,Tindouf,Samara,Pasta,DZD,Retail,500 G,40.0
147,Algeria,Tindouf,Samara,Potatoes,DZD,Retail,KG,70.0
148,Algeria,Tindouf,Samara,Rice,DZD,Retail,KG,120.0
149,Algeria,Tindouf,Samara,Sugar,DZD,Retail,KG,100.0
150,Algeria,Tindouf,Samara,Tea,DZD,Retail,Packet,160.0
151,Algeria,Tindouf,Samara,Tomatoes,DZD,Retail,KG,100.0
152,Algeria,Tindouf,Tindouf,Apples,DZD,Retail,KG,400.0
153,Algeria,Tindouf,Tindouf,Bananas,DZD,Retail,KG,300.0
154,Algeria,Tindouf,Tindouf,Beans,DZD,Retail,KG,220.0
155,Algeria,Tindouf,Tindouf,Bread,DZD,Retail,Unit,10.0
156,Algeria,Tindouf,Tindouf,Carrots,DZD,Retail,KG,100.0
157,Algeria,Tindouf,Tindouf,Cheese,DZD,Retail,Unit,220.0
158,Algeria,Tindouf,Tindouf,Eggs,DZD,Retail,30 pcs,350.0
159,Algeria,Tindouf,Tindouf,Fish,DZD,Retail,125 G,80.0
160,Algeria,Tindouf,Tindouf,Lentils,DZD,Retail,KG,220.0
161,Algeria,Tindouf,Tindouf,Meat,DZD,Retail,KG,700.0
162,Algeria,Tindouf,Tindouf,Meat,DZD,Retail,KG,370.0
163,Algeria,Tindouf,Tindouf,Milk,DZD,Retail,L,100.0
164,Algeria,Tindouf,Tindouf,Milk,DZD,Retail,L,140.0
165,Algeria,Tindouf,Tindouf,Onions,DZD,Retail,KG,50.0
166,Algeria,Tindouf,Tindouf,Pasta,DZD,Retail,500 G,40.0
167,Algeria,Tindouf,Tindouf,Potatoes,DZD,Retail,KG,65.0
168,Algeria,Tindouf,Tindouf,Rice,DZD,Retail,KG,100.0
169,Algeria,Tindouf,Tindouf,Sugar,DZD,Retail,KG,95.0
170,Algeria,Tindouf,Tindouf,Tea,DZD,Retail,Packet,160.0
171,Algeria,Tindouf,Tindouf,Tomatoes,DZD,Retail,KG,60.0
172,Armenia,Lori,Armavir,Apples,AMD,Retail,KG,650.0
173,Armenia,Lori,Armavir,Bread,AMD,Retail,KG,400.0
174,Armenia,Lori,Armavir,Bread,AMD,Retail,KG,405.0
175,Armenia,Lori,Armavir,Cabbage,AMD,Retail,KG,310.0
176,Armenia,Lori,Armavir,Carrots,AMD,Retail,KG,375.0
177,Armenia,Lori,Armavir,Cheese,AMD,Retail,KG,2000.0
178,Armenia,Lori,Armavir,Cucumbers,AMD,Retail,KG,615.0
179,Armenia,Lori,Armavir,Eggs,AMD,Retail,Unit,80.0
180,Armenia,Lori,Armavir,Fish,AMD,Retail,KG,1850.0
181,Armenia,Lori,Armavir,Lentils,AMD,Retail,KG,515.0
182,Armenia,Lori,Armavir,Meat,AMD,Retail,KG,2650.0
183,Armenia,Lori,Armavir,Meat,AMD,Retail,KG,1750.0
184,Armenia,Lori,Armavir,Meat,AMD,Retail,KG,2750.0
185,Armenia,Lori,Armavir,Milk,AMD,Retail,L,400.0
186,Armenia,Lori,Armavir,Onions,AMD,Retail,KG,325.0
187,Armenia,Lori,Armavir,Pasta,AMD,Retail,KG,400.0
188,Armenia,Lori,Armavir,Potatoes,AMD,Retail,KG,275.0
189,Armenia,Lori,Armavir,Rice,AMD,Retail,KG,465.0
190,Armenia,Lori,Armavir,Sugar,AMD,Retail,KG,410.0
191,Armenia,Lori,Armavir,Tomatoes,AMD,Retail,KG,1075.0
192,Armenia,Lori,Armavir,Wheat flour,AMD,Retail,KG,237.5
193,Armenia,Lori,Vanadzor,Apples,AMD,Retail,KG,800.0
194,Armenia,Lori,Vanadzor,Bread,AMD,Retail,KG,440.0
195,Armenia,Lori,Vanadzor,Bread,AMD,Retail,KG,470.0
196,Armenia,Lori,Vanadzor,Cabbage,AMD,Retail,KG,275.0
197,Armenia,Lori,Vanadzor,Carrots,AMD,Retail,KG,400.0
198,Armenia,Lori,Vanadzor,Cheese,AMD,Retail,KG,2050.0
199,Armenia,Lori,Vanadzor,Cucumbers,AMD,Retail,KG,200.0
200,Armenia,Lori,Vanadzor,Eggs,AMD,Retail,Unit,65.0
201,Armenia,Lori,Vanadzor,Fish,AMD,Retail,KG,2275.0
202,Armenia,Lori,Vanadzor,Lentils,AMD,Retail,KG,810.0
203,Armenia,Lori,Vanadzor,Meat,AMD,Retail,KG,2450.0
204,Armenia,Lori,Vanadzor,Meat,AMD,Retail,KG,1425.0
205,Armenia,Lori,Vanadzor,Meat,AMD,Retail,KG,2450.0
206,Armenia,Lori,Vanadzor,Milk,AMD,Retail,L,495.0
207,Armenia,Lori,Vanadzor,Onions,AMD,Retail,KG,330.0
208,Armenia,Lori,Vanadzor,Pasta,AMD,Retail,KG,425.0
209,Armenia,Lori,Vanadzor,Potatoes,AMD,Retail,KG,425.0
210,Armenia,Lori,Vanadzor,Rice,AMD,Retail,KG,490.0
211,Armenia,Lori,Vanadzor,Sugar,AMD,Retail,KG,410.0
212,Armenia,Lori,Vanadzor,Tomatoes,AMD,Retail,KG,900.0
213,Armenia,Lori,Vanadzor,Wheat flour,AMD,Retail,KG,235.0
214,Armenia,Tavush,Berd,Apples,AMD,Retail,KG,825.0
215,Armenia,Tavush,Berd,Bread,AMD,Retail,KG,445.0
216,Armenia,Tavush,Berd,Bread,AMD,Retail,KG,480.0
217,Armenia,Tavush,Berd,Cabbage,AMD,Retail,KG,285.0
218,Armenia,Tavush,Berd,Carrots,AMD,Retail,KG,425.0
219,Armenia,Tavush,Berd,Cheese,AMD,Retail,KG,1950.0
220,Armenia,Tavush,Berd,Cucumbers,AMD,Retail,KG,250.0
221,Armenia,Tavush,Berd,Eggs,AMD,Retail,Unit,70.0
222,Armenia,Tavush,Berd,Fish,AMD,Retail,KG,2325.0
223,Armenia,Tavush,Berd,Lentils,AMD,Retail,KG,850.0
224,Armenia,Tavush,Berd,Meat,AMD,Retail,KG,2400.0
225,Armenia,Tavush,Berd,Meat,AMD,Retail,KG,1450.0
226,Armenia,Tavush,Berd,Meat,AMD,Retail,KG,2450.0
227,Armenia,Tavush,Berd,Milk,AMD,Retail,L,450.0
228,Armenia,Tavush,Berd,Onions,AMD,Retail,KG,365.0
229,Armenia,Tavush,Berd,Pasta,AMD,Retail,KG,465.0
230,Armenia,Tavush,Berd,Potatoes,AMD,Retail,KG,440.0
231,Armenia,Tavush,Berd,Rice,AMD,Retail,KG,515.0
232,Armenia,Tavush,Berd,Sugar,AMD,Retail,KG,445.0
233,Armenia,Tavush,Berd,Tomatoes,AMD,Retail,KG,950.0
234,Armenia,Tavush,Berd,Wheat flour,AMD,Retail,KG,247.5
235,Armenia,Tavush,Gavar,Apples,AMD,Retail,KG,850.0
236,Armenia,Tavush,Gavar,Bread,AMD,Retail,KG,360.0
237,Armenia,Tavush,Gavar,Bread,AMD,Retail,KG,360.0
238,Armenia,Tavush,Gavar,Cabbage,AMD,Retail,KG,120.0
239,Armenia,Tavush,Gavar,Carrots,AMD,Retail,KG,200.0
240,Armenia,Tavush,Gavar,Cheese,AMD,Retail,KG,1725.0
241,Armenia,Tavush,Gavar,Cucumbers,AMD,Retail,KG,420.0
242,Armenia,Tavush,Gavar,Eggs,AMD,Retail,Unit,61.5
243,Armenia,Tavush,Gavar,Fish,AMD,Retail,KG,2200.0
244,Armenia,Tavush,Gavar,Lentils,AMD,Retail,KG,850.0
245,Armenia,Tavush,Gavar,Meat,AMD,Retail,KG,2350.0
246,Armenia,Tavush,Gavar,Meat,AMD,Retail,KG,1015.0
247,Armenia,Tavush,Gavar,Meat,AMD,Retail,KG,2400.0
248,Armenia,Tavush,Gavar,Milk,AMD,Retail,L,460.0
249,Armenia,Tavush,Gavar,Onions,AMD,Retail,KG,200.0
250,Armenia,Tavush,Gavar,Pasta,AMD,Retail,KG,310.0
251,Armenia,Tavush,Gavar,Potatoes,AMD,Retail,KG,152.5
252,Armenia,Tavush,Gavar,Rice,AMD,Retail,KG,385.0
253,Armenia,Tavush,Gavar,Sugar,AMD,Retail,KG,400.0
254,Armenia,Tavush,Gavar,Tomatoes,AMD,Retail,KG,750.0
255,Armenia,Tavush,Gavar,Wheat flour,AMD,Retail,KG,250.0
256,Armenia,Yerevan,Yerevan,Apples,AMD,Retail,KG,860.0
257,Armenia,Yerevan,Yerevan,Bread,AMD,Retail,KG,360.0
258,Armenia,Yerevan,Yerevan,Bread,AMD,Retail,KG,360.0
259,Armenia,Yerevan,Yerevan,Cabbage,AMD,Retail,KG,110.0
260,Armenia,Yerevan,Yerevan,Carrots,AMD,Retail,KG,200.0
261,Armenia,Yerevan,Yerevan,Cheese,AMD,Retail,KG,1725.0
262,Armenia,Yerevan,Yerevan,Cucumbers,AMD,Retail,KG,550.0
263,Armenia,Yerevan,Yerevan,Eggs,AMD,Retail,Unit,57.5
264,Armenia,Yerevan,Yerevan,Fish,AMD,Retail,KG,2200.0
265,Armenia,Yerevan,Yerevan,Lentils,AMD,Retail,KG,817.5
266,Armenia,Yerevan,Yerevan,Meat,AMD,Retail,KG,2350.0
267,Armenia,Yerevan,Yerevan,Meat,AMD,Retail,KG,995.0
268,Armenia,Yerevan,Yerevan,Meat,AMD,Retail,KG,2400.0
269,Armenia,Yerevan,Yerevan,Milk,AMD,Retail,L,460.0
270,Armenia,Yerevan,Yerevan,Onions,AMD,Retail,KG,200.0
271,Armenia,Yerevan,Yerevan,Pasta,AMD,Retail,KG,310.0
272,Armenia,Yerevan,Yerevan,Potatoes,AMD,Retail,KG,275.0
273,Armenia,Yerevan,Yerevan,Rice,AMD,Retail,KG,385.0
274,Armenia,Yerevan,Yerevan,Sugar,AMD,Retail,KG,400.0
275,Armenia,Yerevan,Yerevan,Tomatoes,AMD,Retail,KG,875.0
276,Armenia,Yerevan,Yerevan,Wheat flour,AMD,Retail,KG,240.0
277,Bangladesh,Barisal,Barisal Division,Lentils,BDT,Retail,KG,92.75
278,Bangladesh,Barisal,Barisal Division,Rice,BDT,Retail,KG,37.0
279,Bangladesh,Barisal,Barisal Division,Wheat flour,BDT,Retail,KG,31.0
280,Bangladesh,Chittagong,Chittagong Division,Lentils,BDT,Retail,KG,92.1
281,Bangladesh,Chittagong,Chittagong Division,Rice,BDT,Retail,KG,37.0
282,Bangladesh,Chittagong,Chittagong Division,Wheat flour,BDT,Retail,KG,30.5
283,Bangladesh,Dhaka,Dhaka Division,Lentils,BDT,Retail,KG,89.71
284,Bangladesh,Dhaka,Dhaka Division,Rice,BDT,Retail,KG,37.75
285,Bangladesh,Dhaka,Dhaka Division,Wheat flour,BDT,Retail,KG,31.67
286,Bangladesh,Khulna,Khulna Division,Lentils,BDT,Retail,KG,86.0
287,Bangladesh,Khulna,Khulna Division,Rice,BDT,Retail,KG,35.4
288,Bangladesh,Khulna,Khulna Division,Wheat flour,BDT,Retail,KG,31.1
289,Bangladesh,Rajshahi,Rajshahi Division,Lentils,BDT,Retail,KG,87.91
290,Bangladesh,Rajshahi,Rajshahi Division,Rice,BDT,Retail,KG,35.3
291,Bangladesh,Rajshahi,Rajshahi Division,Wheat flour,BDT,Retail,KG,30.0
292,Bangladesh,Sylhet,Sylhet Division,Lentils,BDT,Retail,KG,91.0
293,Bangladesh,Sylhet,Sylhet Division,Rice,BDT,Retail,KG,34.0
294,Bangladesh,Sylhet,Sylhet Division,Wheat flour,BDT,Retail,KG,33.0
295,Benin,Alibori,Banikoara,Beans,XOF,Retail,KG,300.0
296,Benin,Alibori,Banikoara,Cassava meal,XOF,Retail,KG,355.0
297,Benin,Alibori,Banikoara,Maize,XOF,Retail,KG,115.0
298,Benin,Alibori,Banikoara,Rice,XOF,Retail,KG,500.0
299,Benin,Alibori,Banikoara,Sorghum,XOF,Retail,KG,135.0
300,Benin,Alibori,Malanville (CBM),Beans,XOF,Retail,KG,435.0
301,Benin,Alibori,Malanville (CBM),Cassava meal,XOF,Retail,KG,215.0
302,Benin,Alibori,Malanville (CBM),Maize,XOF,Wholesale,KG,130.0
303,Benin,Alibori,Malanville (CBM),Maize,XOF,Retail,KG,135.0
304,Benin,Alibori,Malanville (CBM),Millet,XOF,Wholesale,KG,190.0
305,Benin,Alibori,Malanville (CBM),Rice,XOF,Retail,KG,480.0
306,Benin,Alibori,Malanville (CBM),Sorghum,XOF,Retail,KG,230.0
307,Benin,Atakora,Kerou,Beans,XOF,Retail,KG,435.0
308,Benin,Atakora,Kerou,Cassava meal,XOF,Retail,KG,285.0
309,Benin,Atakora,Kerou,Maize,XOF,Retail,KG,105.0
310,Benin,Atakora,Kerou,Rice,XOF,Retail,KG,480.0
311,Benin,Atakora,Kerou,Sorghum,XOF,Retail,KG,150.0
312,Benin,Atakora,Natitingou,Beans,XOF,Retail,KG,325.0
313,Benin,Atakora,Natitingou,Cassava meal,XOF,Retail,KG,285.0
314,Benin,Atakora,Natitingou,Maize,XOF,Retail,KG,165.0
315,Benin,Atakora,Natitingou,Rice,XOF,Retail,KG,530.0
316,Benin,Atakora,Natitingou,Sorghum,XOF,Retail,KG,230.0
317,Benin,Atakora,Tanguieta,Beans,XOF,Retail,KG,310.0
318,Benin,Atakora,Tanguieta,Cassava meal,XOF,Retail,KG,285.0
319,Benin,Atakora,Tanguieta,Maize,XOF,Retail,KG,130.0
320,Benin,Atakora,Tanguieta,Rice,XOF,Retail,KG,500.0
321,Benin,Atakora,Tanguieta,Sorghum,XOF,Retail,KG,185.0
322,Benin,Borgou,Kalale,Beans,XOF,Retail,KG,500.0
323,Benin,Borgou,Kalale,Cassava meal,XOF,Retail,KG,285.0
324,Benin,Borgou,Kalale,Maize,XOF,Retail,KG,120.0
325,Benin,Borgou,Kalale,Rice,XOF,Retail,KG,500.0
326,Benin,Borgou,Kalale,Sorghum,XOF,Retail,KG,80.0
327,Benin,Borgou,N'Dali,Beans,XOF,Retail,KG,545.0
328,Benin,Borgou,N'Dali,Cassava meal,XOF,Retail,KG,355.0
329,Benin,Borgou,N'Dali,Maize,XOF,Retail,KG,115.0
330,Benin,Borgou,N'Dali,Rice,XOF,Retail,KG,480.0
331,Benin,Borgou,N'Dali,Sorghum,XOF,Retail,KG,135.0
332,Benin,Borgou,Nikki,Beans,XOF,Retail,KG,270.0
333,Benin,Borgou,Nikki,Cassava meal,XOF,Retail,KG,355.0
334,Benin,Borgou,Nikki,Maize,XOF,Retail,KG,135.0
335,Benin,Borgou,Nikki,Rice,XOF,Retail,KG,425.0
336,Benin,Borgou,Nikki,Sorghum,XOF,Retail,KG,190.0
337,Benin,Borgou,Parakou,Beans,XOF,Retail,KG,365.0
338,Benin,Borgou,Parakou,Cassava meal,XOF,Retail,KG,275.0
339,Benin,Borgou,Parakou,Maize,XOF,Retail,KG,165.0
340,Benin,Borgou,Parakou,Rice,XOF,Retail,KG,415.0
341,Benin,Borgou,Parakou,Sorghum,XOF,Retail,KG,195.0
342,Benin,Borgou,Sinende,Beans,XOF,Retail,KG,215.0
343,Benin,Borgou,Sinende,Cassava meal,XOF,Retail,KG,285.0
344,Benin,Borgou,Sinende,Maize,XOF,Retail,KG,125.0
345,Benin,Borgou,Sinende,Rice,XOF,Retail,KG,425.0
346,Benin,Borgou,Sinende,Sorghum,XOF,Retail,KG,215.0
347,Benin,Collines,Glazoue,Beans,XOF,Retail,KG,480.0
348,Benin,Collines,Glazoue,Cassava meal,XOF,Retail,KG,230.0
349,Benin,Collines,Glazoue,Maize,XOF,Retail,KG,100.0
350,Benin,Collines,Glazoue,Rice,XOF,Retail,KG,425.0
351,Benin,Collines,Glazoue,Sorghum,XOF,Retail,KG,225.0
352,Benin,Collines,Savalou,Beans,XOF,Retail,KG,705.0
353,Benin,Collines,Savalou,Cassava meal,XOF,Retail,KG,255.0
354,Benin,Collines,Savalou,Maize,XOF,Retail,KG,165.0
355,Benin,Collines,Savalou,Rice,XOF,Retail,KG,530.0
356,Benin,Collines,Savalou,Sorghum,XOF,Retail,KG,265.0
357,Benin,Couffo,Azove,Beans,XOF,Retail,KG,405.0
358,Benin,Couffo,Azove,Cassava meal,XOF,Retail,KG,230.0
359,Benin,Couffo,Azove,Maize,XOF,Retail,KG,110.0
360,Benin,Couffo,Azove,Rice,XOF,Retail,KG,555.0
361,Benin,Couffo,Azove,Sorghum,XOF,Retail,KG,390.0
362,Benin,Donga,Djougou,Beans,XOF,Retail,KG,425.0
363,Benin,Donga,Djougou,Cassava meal,XOF,Retail,KG,265.0
364,Benin,Donga,Djougou,Maize,XOF,Retail,KG,150.0
365,Benin,Donga,Djougou,Rice,XOF,Retail,KG,480.0
366,Benin,Donga,Djougou,Sorghum,XOF,Retail,KG,300.0
